time_s,total_load_kw,total_queue,bus_0_soc,bus_1_soc,bus_2_soc,bus_3_soc,bus_4_soc,bus_0_charging,bus_1_charging,bus_2_charging,bus_3_charging,bus_4_charging
2,240.0,3,21.71702822479966,23.87780251692823,15.822964430143353,19.173298092454036,15.24706205757633,0,0,0,0,1
4,240.0,6,21.772583780355216,23.933358072483788,15.776540533992542,19.127377988055365,15.196151920771959,0,0,0,0,1
6,240.0,6,21.82813933591077,23.98891362803934,15.730116637841729,19.081457883656697,15.145241783967586,0,0,0,0,1
8,240.0,6,21.883694891466327,24.0444691835949,15.683692741690919,19.035537779258025,15.094331647163218,0,0,0,0,1
10,240.0,6,21.939250447021884,24.100024739150456,15.637268845540106,18.989617674859353,15.043421510358845,0,0,0,0,1
12,240.0,6,21.994806002577434,24.15558029470601,15.590844949389297,18.943697570460685,14.992511373554473,0,0,0,0,1
14,240.0,6,22.05036155813299,24.211135850261563,15.544421053238485,18.897777466062013,14.941601236750104,0,0,0,0,1
16,240.0,6,22.105917113688548,24.26669140581712,15.497997157087672,18.851857361663342,14.890691099945732,0,0,0,0,1
18,240.0,6,22.1614726692441,24.322246961372677,15.451573260936863,18.805937257264674,14.839780963141362,0,0,0,0,1
20,240.0,6,22.21702822479966,24.37780251692823,15.40514936478605,18.760017152866002,14.78887082633699,0,0,0,0,1
22,240.0,6,22.272583780355212,24.433358072483784,15.35872546863524,18.71409704846733,14.73796068953262,0,0,0,0,1
24,240.0,6,22.32813933591077,24.48891362803934,15.31230157248443,18.668176944068662,14.687050552728248,0,0,0,0,1
26,240.0,6,22.383694891466323,24.5444691835949,15.265877676333616,18.62225683966999,14.636140415923876,0,0,0,0,1
28,240.0,6,22.43925044702188,24.600024739150452,15.219453780182807,18.57633673527132,14.585230279119504,0,0,0,0,1
30,240.0,6,22.494806002577437,24.65558029470601,15.173029884031994,18.53041663087265,14.534320142315135,0,0,0,0,1
32,240.0,6,22.550361558132987,24.711135850261563,15.126605987881184,18.48449652647398,14.483410005510763,0,0,0,0,1
34,240.0,6,22.605917113688545,24.766691405817117,15.080182091730373,18.438576422075307,14.432499868706392,0,0,0,0,1
36,240.0,6,22.6614726692441,24.822246961372674,15.03375819557956,18.39265631767664,14.38158973190202,0,0,0,0,1
38,240.0,6,22.717028224799655,24.87780251692823,14.98733429942875,18.346736213277968,14.330679595097651,0,0,0,0,1
40,240.0,6,22.772583780355212,24.933358072483784,14.940910403277938,18.300816108879296,14.279769458293279,0,0,0,0,1
42,240.0,6,22.828139335910766,24.988913628039338,14.894486507127128,18.254896004480628,14.228859321488907,0,0,0,0,1
44,240.0,6,22.883694891466323,25.0444691835949,14.848062610976317,18.208975900081956,14.177949184684538,0,0,0,0,1
46,240.0,6,22.939250447021877,25.10002473915045,14.801638714825504,18.163055795683285,14.127039047880166,0,0,0,0,1
48,240.0,6,22.994806002577434,25.155580294706002,14.755214818674695,18.117135691284616,14.076128911075795,0,0,0,0,1
50,240.0,6,23.05036155813299,25.211135850261563,14.708790922523882,18.071215586885945,14.025218774271423,0,0,0,0,1
52,240.0,6,23.10591711368854,25.266691405817117,14.662367026373072,18.025295482487273,13.974308637467054,0,0,0,0,1
54,240.0,6,23.161472669244098,25.322246961372674,14.615943130222261,17.979375378088605,13.923398500662682,0,0,0,0,1
